factor,script,source_group,dependencies
AbnormalAccruals,ZZ2_AbnormalAccruals_AbnormalAccrualsPercent.py,SignalMasterTable backbone,SignalMasterTable.parquet; a_aCompustat.parquet
Accruals,Accruals.py,Annual/Monthly Compustat,m_aCompustat.parquet
AccrualsBM,AccrualsBM.py,SignalMasterTable + Compustat,SignalMasterTable.parquet; m_aCompustat.parquet
AdExp,AdExp.py,SignalMasterTable + Compustat,SignalMasterTable.parquet; m_aCompustat.parquet
AM,AM.py,SignalMasterTable + Compustat,SignalMasterTable.parquet; m_aCompustat.parquet
AnalystRevision,AnalystRevision.py,IBES-based,IBES_EPS_Unadj.parquet; SignalMasterTable.parquet
AnalystValue,ZZ1_AnalystValue_AOP_PredictedFE_IntrinsicValue.py,IBES-based,IBES_EPS_Unadj.parquet; SignalMasterTable.parquet; m_aCompustat.parquet; monthlyCRSP.parquet
AnnouncementReturn,ZZ2_AnnouncementReturn.py,Daily CRSP + FF,CCMLinkingTable.parquet; dailyCRSP.parquet; dailyFF.parquet; m_QCompustat.parquet
AOP,ZZ1_AnalystValue_AOP_PredictedFE_IntrinsicValue.py,IBES-based,IBES_EPS_Unadj.parquet; SignalMasterTable.parquet; m_aCompustat.parquet; monthlyCRSP.parquet
AssetGrowth,AssetGrowth.py,Annual/Monthly Compustat,m_aCompustat.parquet
Beta,Beta.py,Monthly market / FF,monthlyCRSP.parquet; monthlyFF.parquet; monthlyMarket.parquet
BetaFP,ZZ2_BetaFP.py,Daily CRSP + FF,dailyCRSP.parquet; dailyFF.parquet
BetaLiquidityPS,BetaLiquidityPS.py,Liquidity factor input,monthlyCRSP.parquet; monthlyFF.parquet; monthlyLiquidity.parquet
BetaTailRisk,BetaTailRisk.py,Daily CRSP,dailyCRSP.parquet; monthlyCRSP.parquet
BM,BM.py,SignalMasterTable + Compustat,SignalMasterTable.parquet; m_aCompustat.parquet
BMdec,BMdec.py,CRSP monthly + Compustat,m_aCompustat.parquet; monthlyCRSP.parquet
BookLeverage,BookLeverage.py,Annual/Monthly Compustat,m_aCompustat.parquet
BPEBM,ZZ1_EBM_BPEBM.py,SignalMasterTable + Compustat,SignalMasterTable.parquet; m_aCompustat.parquet
BrandInvest,BrandInvest.py,Other P1,a_aCompustat.parquet
Cash,Cash.py,Quarterly Compustat,SignalMasterTable.parquet; m_QCompustat.parquet
CashProd,CashProd.py,SignalMasterTable + Compustat,SignalMasterTable.parquet; m_aCompustat.parquet
CBOperProf,CBOperProf.py,SignalMasterTable + Compustat,SignalMasterTable.parquet; m_aCompustat.parquet
CF,CF.py,SignalMasterTable + Compustat,SignalMasterTable.parquet; m_aCompustat.parquet
cfp,cfp.py,SignalMasterTable + Compustat,SignalMasterTable.parquet; m_aCompustat.parquet
ChangeInRecommendation,ChangeInRecommendation.py,IBES-based,IBES_Recommendations.parquet; SignalMasterTable.parquet
ChAssetTurnover,ChAssetTurnover.py,Annual/Monthly Compustat,m_aCompustat.parquet
ChEQ,ChEQ.py,Annual/Monthly Compustat,m_aCompustat.parquet
ChForecastAccrual,ChForecastAccrual.py,IBES-based,IBES_EPS_Unadj.parquet; SignalMasterTable.parquet; m_aCompustat.parquet
ChInv,ChInv.py,Annual/Monthly Compustat,m_aCompustat.parquet
ChInvIA,ChInvIA.py,SignalMasterTable + Compustat,SignalMasterTable.parquet; m_aCompustat.parquet
ChNAnalyst,ChNAnalyst.py,IBES-based,IBES_EPS_Unadj.parquet; SignalMasterTable.parquet
ChNNCOA,ChNNCOA.py,Annual/Monthly Compustat,m_aCompustat.parquet
ChNWC,ChNWC.py,Annual/Monthly Compustat,m_aCompustat.parquet
ChTax,ChTax.py,Quarterly Compustat,m_QCompustat.parquet; m_aCompustat.parquet
CompEquIss,CompEquIss.py,SignalMasterTable backbone,SignalMasterTable.parquet
CompositeDebtIssuance,CompositeDebtIssuance.py,Annual/Monthly Compustat,m_aCompustat.parquet
ConsRecomm,ConsRecomm.py,IBES-based,IBES_Recommendations.parquet; SignalMasterTable.parquet
ConvDebt,ConvDebt.py,Annual/Monthly Compustat,m_aCompustat.parquet
CoskewACX,CoskewACX.py,Daily CRSP + FF,dailyCRSP.parquet; dailyFF.parquet
Coskewness,Coskewness.py,Monthly market / FF,monthlyCRSP.parquet; monthlyFF.parquet
DebtIssuance,DebtIssuance.py,SignalMasterTable + Compustat,SignalMasterTable.parquet; m_aCompustat.parquet
DelCOA,DelCOA.py,Annual/Monthly Compustat,m_aCompustat.parquet
DelCOL,DelCOL.py,Annual/Monthly Compustat,m_aCompustat.parquet
DelDRC,DelDRC.py,Annual/Monthly Compustat,m_aCompustat.parquet
DelEqu,DelEqu.py,Annual/Monthly Compustat,m_aCompustat.parquet
DelFINL,DelFINL.py,Annual/Monthly Compustat,m_aCompustat.parquet
DelLTI,DelLTI.py,Annual/Monthly Compustat,m_aCompustat.parquet
DelNetFin,DelNetFin.py,Annual/Monthly Compustat,m_aCompustat.parquet
DivInit,DivInit.py,CRSP distributions,CRSPdistributions.parquet; SignalMasterTable.parquet
DivOmit,DivOmit.py,CRSP distributions,CRSPdistributions.parquet; SignalMasterTable.parquet
DivSeason,DivSeason.py,CRSP distributions,CRSPdistributions.parquet; SignalMasterTable.parquet
DivYieldST,DivYieldST.py,CRSP distributions,CRSPdistributions.parquet; SignalMasterTable.parquet; monthlyCRSP.parquet
dNoa,dNoa.py,Annual/Monthly Compustat,m_aCompustat.parquet
DolVol,DolVol.py,CRSP monthly,monthlyCRSP.parquet
DownRecomm,DownRecomm.py,IBES-based,IBES_Recommendations.parquet; SignalMasterTable.parquet
EarningsConsistency,EarningsConsistency.py,Annual/Monthly Compustat,m_aCompustat.parquet
EarningsForecastDisparity,EarningsForecastDisparity.py,IBES-based,IBES_EPS_Unadj.parquet; IBES_UnadjustedActuals.parquet; SignalMasterTable.parquet
EarningsStreak,EarningsStreak.py,IBES-based,IBES_EPS_Adj.parquet; SignalMasterTable.parquet
EarningsSurprise,EarningsSurprise.py,Quarterly Compustat,SignalMasterTable.parquet; m_QCompustat.parquet
EarnSupBig,EarnSupBig.py,Quarterly Compustat,SignalMasterTable.parquet; m_QCompustat.parquet
EBM,ZZ1_EBM_BPEBM.py,SignalMasterTable + Compustat,SignalMasterTable.parquet; m_aCompustat.parquet
EntMult,EntMult.py,SignalMasterTable + Compustat,SignalMasterTable.parquet; m_aCompustat.parquet
EP,EP.py,SignalMasterTable + Compustat,SignalMasterTable.parquet; m_aCompustat.parquet
EquityDuration,EquityDuration.py,Other P1,a_aCompustat.parquet
ExchSwitch,ExchSwitch.py,SignalMasterTable backbone,SignalMasterTable.parquet
ExclExp,ExclExp.py,IBES-based,IBES_UnadjustedActuals.parquet; SignalMasterTable.parquet; m_QCompustat.parquet
FEPS,FEPS.py,IBES-based,IBES_EPS_Unadj.parquet; SignalMasterTable.parquet
fgr5yrLag,fgr5yrLag.py,IBES-based,IBES_EPS_Unadj.parquet; SignalMasterTable.parquet; m_aCompustat.parquet
FirmAge,FirmAge.py,SignalMasterTable backbone,SignalMasterTable.parquet
FirmAgeMom,FirmAgeMom.py,SignalMasterTable backbone,SignalMasterTable.parquet
ForecastDispersion,ForecastDispersion.py,IBES-based,IBES_EPS_Unadj.parquet; SignalMasterTable.parquet
Frontier,Frontier.py,SignalMasterTable + Compustat,SignalMasterTable.parquet; m_aCompustat.parquet
GP,GP.py,Annual/Monthly Compustat,m_aCompustat.parquet
GrAdExp,GrAdExp.py,SignalMasterTable + Compustat,SignalMasterTable.parquet; m_aCompustat.parquet
