priority,access_method,dataset,local_script,output_file,source_tables,variables,filters,required_for,can_skip,notes
"P1","WRDS SQL (local Python)","CRSP monthly stock","Open_Source_Asset_Pricing/Signals/pyCode/DataDownloads/CRSPMonthly.py","Open_Source_Asset_Pricing/Signals/pyData/Intermediate/monthlyCRSP.parquet","crsp.msf; crsp.msenames; crsp.msedelist","crsp.msf: permno, permco, date, ret, retx, vol, shrout, prc, cfacshr, bidlo, askhi; crsp.msenames: shrcd, exchcd, siccd, ticker, shrcls; crsp.msedelist: dlstcd, dlret","none at source query","Backbone monthly stock panel for most return/price signals","No","Includes delisting-return adjustment and permco market equity aggregation"
"P1","WRDS SQL (local Python)","CRSP daily stock","Open_Source_Asset_Pricing/Signals/pyCode/DataDownloads/CRSPDaily.py","Open_Source_Asset_Pricing/Signals/pyData/Intermediate/dailyCRSP.parquet","crsp.dsf","permno, date, ret, vol, shrout, prc, cfacshr, cfacpr","none","Daily-return-based predictors: beta, maxret, illiquidity, vol, skew, delay","No","Core daily panel"
"P1","WRDS SQL (local Python)","CRSP distributions","Open_Source_Asset_Pricing/Signals/pyCode/DataDownloads/CRSPDistributions.py","Open_Source_Asset_Pricing/Signals/pyData/Intermediate/CRSPdistributions.parquet","crsp.msedist","permno, divamt, distcd, facshr, rcrddt, exdt, paydt","none","Dividend and distribution signals","Only if you omit dividend signals","Also reused by acquisition/spinoff logic"
"P1","WRDS SQL (local Python)","CCM link","Open_Source_Asset_Pricing/Signals/pyCode/DataDownloads/CCMLinkingTable.py","Open_Source_Asset_Pricing/Signals/pyData/Intermediate/CCMLinkingTable.parquet","comp.names; crsp.ccmxpf_lnkhist","comp.names: gvkey, conm, tic, cusip, cik, sic, naics; ccmxpf_lnkhist: linkprim, linktype, liid, lpermno, lpermco, linkdt, linkenddt","linktype in ('LC','LU'); linkprim in ('P','C')","Maps Compustat firms to CRSP permnos","No","Critical for merging Compustat onto stock panel"
"P1","WRDS SQL (local Python)","Compustat annual","Open_Source_Asset_Pricing/Signals/pyCode/DataDownloads/CompustatAnnual.py","Open_Source_Asset_Pricing/Signals/pyData/Intermediate/a_aCompustat.parquet; Open_Source_Asset_Pricing/Signals/pyData/Intermediate/m_aCompustat.parquet; Open_Source_Asset_Pricing/Signals/pyData/Intermediate/CompustatAnnual.csv","comp.funda","gvkey, datadate, conm, fyear, tic, cusip, naicsh, sich, aco, act, ajex, am, ao, ap, at, capx, ceq, ceqt, che, cogs, csho, cshrc, dcpstk, dcvt, dlc, dlcch, dltis, dltr, dltt, dm, dp, drc, drlt, dv, dvc, dvp, dvpa, dvpd, dvpsx_c, dvt, ebit, ebitda, emp, epspi, epspx, fatb, fatl, ffo, fincf, fopt, gdwl, gdwlia, gdwlip, gwo, ib, ibcom, intan, invt, ivao, ivncf, ivst, lco, lct, lo, lt, mib, msa, ni, nopi, oancf, ob, oiadp, oibdp, pi, ppenb, ppegt, ppenls, ppent, prcc_c, prcc_f, prstkc, prstkcc, pstk, pstkl, pstkrv, re, rect, recta, revt, sale, scstkc, seq, spi, sstk, tstkp, txdb, txdi, txditc, txfo, txfed, txp, txt, wcap, wcapch, xacc, xad, xint, xrd, xpp, xsga","consol='C'; popsrc='D'; datafmt='STD'; curcd='USD'; indfmt='INDL'","Most annual accounting predictors","No","Single highest-impact accounting file; monthly and annual outputs are both written"
"P1","WRDS SQL (local Python)","Compustat quarterly","Open_Source_Asset_Pricing/Signals/pyCode/DataDownloads/CompustatQuarterly.py","Open_Source_Asset_Pricing/Signals/pyData/Intermediate/m_QCompustat.parquet; Open_Source_Asset_Pricing/Signals/pyData/Intermediate/CompustatQuarterly.parquet","comp.fundq","gvkey, datadate, fyearq, fqtr, datacqtr, datafqtr, acoq, actq, ajexq, apq, atq, ceqq, cheq, cogsq, cshoq, cshprq, dlcq, dlttq, dpq, drcq, drltq, dvpsxq, dvpq, dvy, epspiq, epspxq, fopty, gdwlq, ibq, invtq, intanq, ivaoq, lcoq, lctq, loq, ltq, mibq, niq, oancfy, oiadpq, oibdpq, piq, ppentq, ppegtq, prstkcy, prccq, pstkq, rdq, req, rectq, revtq, saleq, seqq, sstky, txdiq, txditcq, txpq, txtq, xaccq, xintq, xsgaq, xrdq, capxy","consol='C'; popsrc='D'; datafmt='STD'; curcdq='USD'; indfmt='INDL'","Quarterly earnings, accruals, revenue, and surprise predictors","No","Needed for many earnings-based signals"
"P1","WRDS SQL (local Python)","CRSP market index","Open_Source_Asset_Pricing/Signals/pyCode/DataDownloads/MarketReturns.py","Open_Source_Asset_Pricing/Signals/pyData/Intermediate/monthlyMarket.parquet","crsp.msi","date, vwretd, ewretd, usdval","none","Market-relative return signals and beta regressions","No","Small but core input"
"P1","WRDS SQL (local Python)","Fama-French monthly factors","Open_Source_Asset_Pricing/Signals/pyCode/DataDownloads/FamaFrenchMonthly.py","Open_Source_Asset_Pricing/Signals/pyData/Intermediate/monthlyFF.parquet","ff.factors_monthly","date, mktrf, smb, hml, rf, umd","none","Monthly factor regressions","No","Used widely in regression-based predictors"
"P1","WRDS SQL (local Python)","Fama-French daily factors","Open_Source_Asset_Pricing/Signals/pyCode/DataDownloads/FamaFrenchDaily.py","Open_Source_Asset_Pricing/Signals/pyData/Intermediate/dailyFF.parquet","ff.factors_daily","date, mktrf, smb, hml, rf, umd","none","Daily factor regressions","No","Needed for daily beta-style signals"
"P1","WRDS SQL (local Python)","Pastor-Stambaugh liquidity factor","Open_Source_Asset_Pricing/Signals/pyCode/DataDownloads/LiquidityFactor.py","Open_Source_Asset_Pricing/Signals/pyData/Intermediate/monthlyLiquidity.parquet","ff.liq_ps","date, ps_innov","none","Liquidity-beta style predictors","Usually no","Can be skipped only if you do not need those specific signals"
"P1","WRDS SQL (local Python)","IBES-CRSP link","Open_Source_Asset_Pricing/Signals/pyCode/DataDownloads/IBESCRSPLink.py","Open_Source_Asset_Pricing/Signals/pyData/Intermediate/IBESCRSPLinkingTable.parquet","wrdsapps.ibcrsphist","ticker, permno, ncusip, sdate, edate, score","none","Maps IBES analyst data to permno","No for analyst signals","I already patched an off-by-one month bug in this script"
"P1","WRDS SQL (local Python)","IBES EPS unadjusted summary","Open_Source_Asset_Pricing/Signals/pyCode/DataDownloads/IBESEPSUnadjusted.py","Open_Source_Asset_Pricing/Signals/pyData/Intermediate/IBES_EPS_Unadj.parquet","ibes.statsumu_epsus","ticker, statpers, measure, fpi, numest, medest, meanest, stdev, fpedats","fpi in ('0','1','2','6')","Forecast revision, dispersion, FEPS-style signals","No for analyst signals","Monthly last-observation-per-ticker/fpi retained"
